tag,batch,growout_site,region,length_mm,sample_status,tank,treatment,death,death_date,notes
B818,NNP-2-COP,COP,N,46,G,12,C,,,
B819,NNP-2-COP,COP,N,49,G,10,C,,,
B820,NNP-2-COP,COP,N,56,SO,4,L,Y,10/23/2022,
B821,NNP-2-COP,COP,N,52,VSO,11,H,Y,10/22/2022,
B822,NNP-2-COP,COP,N,42,G,1,L,Y,10/16/2022,Tag fell off in tank
B823,NNP-2-COP,COP,N,46,G,12,C,,,
B824,NNP-2-COP,COP,N,49,VSO,4,L,Y,10/18/2022,
B825,NNP-2-COP,COP,N,44,SO,6,H,Y,10/23/2022,
B826,NNP-2-COP,COP,N,43,O,8,C,,,
B827,NNP-2-COP,COP,N,56,SO,3,C,Y,10/30/2022,
B828,NNP-2-COP,COP,N,44,G,6,H,Y,10/21/2022,
B829,NNP-2-COP,COP,N,54,VSO,9,L,Y,10/18/2022,
B830,NNP-2-COP,COP,N,45,O,10,C,,,
B831,NNP-2-COP,COP,N,43,G,2,H,Y,10/27/2022,
B832,NNP-2-COP,COP,N,48,G,6,H,Y,10/25/2022,
B833,NNP-2-COP,COP,N,46,VSO,12,C,,,
B834,NNP-2-COP,COP,N,44,O,8,C,,,
B835,NNP-2-COP,COP,N,43,G,3,C,,,
B836,NNP-2-COP,COP,N,37,O,10,C,,,
B837,NNP-2-COP,COP,N,47,O,12,C,,,
B838,NNP-2-COP,COP,N,46,SO,4,L,Y,10/17/2022,
B839,NNP-2-COP,COP,N,53,G,7,L,Y,10/18/2022,
B840,NNP-2-COP,COP,N,44,G,2,H,Y,10/19/2022,
B841,NNP-2-COP,COP,N,42,O,5,H,Y,10/22/2022,
B842,NNP-2-COP,COP,N,52,O,9,L,Y,10/17/2022,
B843,NNP-2-COP,COP,N,45,VSO,11,H,Y,10/29/2022,
B844,NNP-2-COP,COP,N,51,G,1,L,Y,10/20/2022,
B845,NNP-2-COP,COP,N,49,SO,2,H,Y,10/21/2022,
B846,NNP-2-COP,COP,N,47,SO,4,L,Y,10/23/2022,
B847,NNP-2-COP,COP,N,47,G,11,H,Y,10/21/2022,
B848,NNP-2-COP,COP,N,62,VSO,10,C,,,
B849,NNP-2-COP,COP,N,58,G,5,H,Y,10/23/2022,
B850,NNP-2-COP,COP,N,54,O,3,C,,,
B851,NNP-2-COP,COP,N,47,O,12,C,Y,10/26/2022,
B852,NNP-2-COP,COP,N,45,SO,5,H,Y,10/26/2022,
B853,NNP-2-COP,COP,N,51,VSO,7,L,Y,10/18/2022,
B854,NNP-2-COP,COP,N,44,G,7,L,Y,10/22/2022,
B855,NNP-2-COP,COP,N,57,O,1,L,Y,10/18/2022,
B856,NNP-2-COP,COP,N,49,G,1,L,Y,10/23/2022,
B857,NNP-2-COP,COP,N,40,VSO,5,H,Y,10/17/2022,
B858,NNP-2-COP,COP,N,42,O,2,H,Y,10/11/2022,
B859,NNP-2-COP,COP,N,60,VSO,11,H,Y,10/21/2022,
B860,NNP-2-COP,COP,N,44,O,2,H,Y,10/28/2022,
B861,NNP-2-COP,COP,N,42,G,3,C,,,
B862,NNP-2-COP,COP,N,45,O,8,C,,,
B863,NNP-2-COP,COP,N,54,O,6,H,Y,10/25/2022,
B864,NNP-2-COP,COP,N,45,G,4,L,Y,10/23/2022,
B865,NNP-2-COP,COP,N,52,G,7,L,Y,10/10/2022,
B866,NNP-2-COP,COP,N,50,G,9,L,Y,10/18/2022,Tag lost in tank
B867,NNP-2-COP,COP,N,54,O,3,C,,,
B868,ULM-1-COP,COP,S,69,G,9,L,Y,10/19/2022,
B869,ULM-1-COP,COP,S,77,G,5,H,Y,10/23/2022,
B870,ULM-1-COP,COP,S,82,O,10,C,,,
B871,ULM-1-COP,COP,S,87,SO,7,L,Y,10/19/2022,
B872,ULM-1-COP,COP,S,77,O,11,H,Y,10/30/2022,
B873,ULM-1-COP,COP,S,71,SO,11,H,Y,10/29/2022,
B874,ULM-1-COP,COP,S,74,G,7,L,Y,10/19/2022,
